"TOA5","CR1000XSeries","CR1000X","45775","CR1000X.Std.06.01","CPU:ENSEGID_WS_V2_bis.CR1X","8430","Table1"
"TIMESTAMP","RECORD","BattV_Min","PTemp_C_Avg","WindDir","WS_ms_Avg","WSDiag","SmplsF","Diag1F","Diag2F","Diag4F","Diag8F","Diag9F","Diag10F","NNDF","AirTC_Avg","RH_Max","RH_Min","RH","BV_BP_Avg","BV_Temp_Avg","BV_Qual_Min","Rain_mm_Tot","RCorr_mm_Tot","SR01Up_Avg","SR01Dn_Avg","IR01Up_Avg","IR01Dn_Avg","NR01TC_Avg","NR01TK_Avg","NetRs_Avg","NetRl_Avg","Albedo_Avg","UpTot_Avg","DnTot_Avg","NetTot_Avg","IR01UpCo_Avg","IR01DnCo_Avg","quant_NTR","quant_total_NTR","collecteur_TR","collecteur_NTR","temp_cell","etat_chauff","etat"
"TS","RN","Volts","Deg C","degrees","meters/second","unitless","","","","","","","","","Deg C","%","%","%","hPa","deg C","unitless","mm","","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","K","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","mm","mm","mm","mm","degC","None","None"
"","","Min","Avg","Smp","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Max","Min","Smp","Avg","Avg","Min","Tot","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-07-13 08:54:00",0,12.26,25.08,111,1.339,0,1,0,0,0,0,0,0,0,20.86,57.89,55.74,56.06,1020.2,25.96,6.91,0,0,662.2,170,-100.1,46.32,24.41,297.6,492.2,-146.4,0.257,562.1,216.3,345.8,344.4,490.8,0,0,134.4,134.4,22.8,255,128
"2023-07-13 09:00:00",1,12.25,25.38,130,1.409,0,1,0,0,0,0,0,0,0,21.42,56.37,52.88,54.39,1020.2,26.21,6.91,0.6,0.613,695.5,179.3,-103.4,47.58,24.78,297.9,516.3,-151,0.258,592.1,226.8,365.3,343.3,494.3,0,0,135.5,134.4,23.2,255,0
"2023-07-13 09:06:00",2,12.26,25.44,8,1.31,0,1,0,0,0,0,0,0,0,21.07,55.44,54.15,55.11,1020.217,26.18,6.9,0,0,541.6,135.7,-95.1,42.6,24.57,297.7,405.9,-137.7,0.244,446.5,178.3,268.2,350.4,488.1,1.09,1.1,135.5,135.5,23.6,255,0
"2023-07-13 09:12:00",3,13.04,25.43,272,1.076,0,1,0,0,0,0,0,0,0,21.22,54.83,53.46,54.12,1020.2,26.13,6.88,0,0,462.5,115.8,-81.7,38.75,24.29,297.4,346.8,-120.5,0.242,380.8,154.5,226.3,362.1,482.6,0,1.1,135.5,135.5,23.9,255,0
"2023-07-13 09:18:00",4,13.05,25.64,75,1.314,0,1,0,0,0,0,0,0,0,21.61,54.57,53.04,54.15,1020.2,26.07,6.88,0,0,354.6,86.5,-69.22,36.38,23.96,297.1,268,-105.6,0.238,285.3,122.9,162.4,372.6,478.2,0,1.1,135.4,135.4,24.2,255,0
"2023-07-13 09:24:00",5,13.25,25.56,246,1.127,0,1,0,0,0,0,0,0,0,21.51,54.79,51.22,51.22,1020.158,25.73,6.88,0,0,347.1,86.8,-73.43,31.43,23.59,296.7,260.3,-104.9,0.245,273.6,118.2,155.4,366.2,471.1,0,1.1,135.4,135.4,24.5,255,0
"2023-07-13 09:30:00",6,13.33,25.52,19,1.369,0,1,0,0,0,0,0,0,0,21.9,52.1,50.08,50.75,1020.175,25.6,6.86,0,0,500.7,126.2,-84.1,43.63,23.93,297.1,374.4,-127.7,0.248,416.6,169.9,246.7,357.5,485.3,0,1.1,135.4,135.4,24.6,255,0
"2023-07-13 09:36:00",7,13.26,25.5,78,1.042,0,1,0,0,0,0,0,0,0,21.59,52.59,51.06,52.57,1020.2,25.52,6.87,6,6.384,316.8,76.87,-83.4,27.31,23.77,296.9,240,-110.7,0.237,233.4,104.2,129.2,357.3,468,2.56,3.65,141.4,138,24.8,255,0
"2023-07-13 09:42:00",8,13.39,25.53,77,1.18,0,1,0,0,0,0,0,0,0,21.78,52.23,50.09,51.48,1020.2,25.47,6.87,0,0,599.1,153.7,-74.12,47.14,24.08,297.2,445.4,-121.3,0.256,525,200.9,324.2,368.4,489.7,3.47,7.13,141.4,141.4,25,255,0
"2023-07-13 09:48:00",9,13.39,25.69,171,1.242,0,1,0,0,0,0,0,0,0,21.79,51.65,50.87,51.28,1020.192,25.69,6.85,0,0,525.8,133.6,-78.87,44.17,24.41,297.6,392.2,-123,0.251,446.9,177.8,269.2,365.6,488.7,0,7.13,141.3,141.4,25.1,255,0
"2023-07-13 09:54:00",10,13.4,25.77,328,1.278,0,1,0,0,0,0,0,0,0,22,51.83,48.97,48.97,1020.25,25.77,6.87,0,0,291,70.61,-78.22,29.1,24.34,297.5,220.4,-107.3,0.242,212.8,99.7,113.1,365.9,473.2,0,7.13,141.3,141.3,25.2,255,0
"2023-07-13 10:00:00",11,13.42,25.64,359,1.042,0,1,0,0,0,0,0,0,0,21.87,49.83,48.54,49.7,1020.2,25.56,6.87,0,0,463.2,117,-73.76,33.27,23.91,297.1,346.2,-107,0.249,389.5,150.2,239.2,367.8,474.8,0,7.13,141.3,141.3,25.3,255,0
"2023-07-13 10:06:00",12,13.38,25.71,7,1.212,0,1,0,0,0,0,0,0,0,21.91,50.18,47.78,50.18,1020.275,25.63,6.86,0,0,390.7,97.8,-84.1,36.92,24.17,297.3,292.9,-121.1,0.249,306.6,134.7,171.9,358.9,480,0,7.13,141.3,141.3,25.4,255,0
"2023-07-13 10:12:00",13,13.39,25.78,317,1.284,0,1,0,0,0,0,0,0,0,21.97,50.09,46.69,46.69,1020.317,25.73,6.85,0,0,645.2,168.1,-88.8,47.02,24.27,297.4,477.1,-135.8,0.26,556.4,215.1,341.3,354.9,490.7,0,7.13,141.2,141.2,25.5,255,0
"2023-07-13 10:18:00",14,13.4,25.91,67,1.163,0,1,0,0,0,0,0,0,0,22.32,48.57,46.16,46.26,1020.3,25.97,6.85,0,0,777.8,203.2,-91.8,59.99,25.14,298.3,574.6,-151.8,0.261,686,263.2,422.7,357,508.9,0,7.13,141.2,141.2,25.5,255,0
"2023-07-13 10:24:00",15,13.39,26.15,171,0.932,0,1,0,0,0,0,0,0,0,22.73,48.73,44.83,44.83,1020.2,26.53,6.85,0,0,684.8,175.7,-92.6,56.99,25.85,299,509.1,-149.6,0.257,592.1,232.6,359.5,360.6,510.2,0,7.13,141.2,141.2,25.6,255,0
"2023-07-13 10:30:00",16,13.36,26.47,179,0.919,0,1,0,0,0,0,0,0,0,22.9,47.07,45,45.54,1020.142,27.19,6.86,0,0,702,180.7,-86.6,58.16,26.51,299.7,521.3,-144.8,0.257,615.4,238.9,376.5,370.6,515.3,0,7.13,141.2,141.2,25.8,255,0
"2023-07-13 10:36:00",17,13.33,26.84,246,1.275,0,1,0,0,0,0,0,0,0,23.13,46.58,42.97,45.93,1020.183,27.85,6.85,0,0,480.3,118.9,-91.3,45.48,26.65,299.8,361.4,-136.8,0.244,389,164.4,224.6,366.8,503.5,0,7.13,141.1,141.2,26.1,255,0
"2023-07-13 10:42:00",18,13.34,27.13,354,1.312,0,1,0,0,0,0,0,0,0,22.8,46.87,44.27,44.27,1020.15,28.24,6.86,0,0,408.4,99.3,-93.4,35.92,25.92,299.1,309.2,-129.3,0.243,315,135.2,179.8,360.2,489.5,0,7.13,141.1,141.1,26.4,255,0
"2023-07-13 10:48:00",19,13.36,27.25,11,1.657,0,1,0,0,0,0,0,0,0,22.73,46.15,43.59,44.37,1020.2,28.26,6.86,0,0,745.7,188.6,-93.5,55.31,25.5,298.7,557,-148.8,0.252,652.2,243.9,408.2,357.6,506.4,0,7.13,141.1,141.1,26.5,255,0
"2023-07-13 10:54:00",20,13.36,27.32,25,1.286,0,1,0,0,0,0,0,0,0,22.63,45.05,43.85,45.05,1020.15,28.28,6.85,0,0,794.2,201.6,-97.7,66.41,25.81,299,592.6,-164.1,0.254,696.5,268,428.6,355.3,519.4,0,7.13,141.1,141.1,26.6,255,0
"2023-07-13 11:00:00",21,13.35,27.45,200,1.208,0,1,0,0,0,0,0,0,0,23.01,44.44,42.64,42.64,1020.1,28.5,6.84,0,0,816,207.6,-101.2,70.66,26.5,299.6,608.1,-171.8,0.254,714.5,278.2,436.2,355.9,527.8,0,7.13,141,141.1,26.8,255,0
"2023-07-13 11:06:00",22,13.34,27.67,341,0.897,0,1,0,0,0,0,0,0,0,23.03,42.81,42.03,42.38,1020.092,28.86,6.83,0,0,734.4,185.4,-104.7,64.39,27,300.1,549.1,-169,0.252,629.8,249.7,380,355.5,524.6,0,7.13,141,141,27,255,0
"2023-07-13 11:12:00",23,13.33,27.93,14,1.226,0,1,0,0,0,0,0,0,0,23.11,43.22,41.67,42.35,1020,29.25,6.83,0,0,729.9,183.8,-103.8,64.34,27.31,300.5,546.1,-168.1,0.252,626.1,248.1,378,358.3,526.4,0,7.13,141,141,27.2,255,0
"2023-07-13 11:18:00",24,13.34,28.19,172,1.297,0,1,0,0,0,0,0,0,0,23.35,43.79,41.57,42.71,1019.917,29.59,6.83,0,0,712.4,179.8,-103.9,63.4,27.26,300.4,532.6,-167.3,0.252,608.5,243.2,365.3,357.9,525.2,0,7.13,141,141,27.5,255,0
"2023-07-13 11:24:00",25,13.32,28.4,211,1.058,0,1,0,0,0,0,0,0,0,23.32,43.01,41.63,42.32,1019.858,29.78,6.83,0,0,692.9,175.2,-101.8,62.77,27.01,300.2,517.7,-164.6,0.253,591.1,238,353.1,358.4,523,0,7.13,140.9,141,27.7,255,0
"2023-07-13 11:30:00",26,13.3,28.54,290,0.731,0,1,0,0,0,0,0,0,0,23.41,42.56,41.46,41.52,1019.8,29.84,6.82,0,0,672.9,170.6,-100.7,63.05,27.03,300.2,502.3,-163.7,0.253,572.2,233.6,338.6,359.7,523.4,0,7.13,140.9,140.9,27.9,255,0
"2023-07-13 11:36:00",27,13.3,28.65,49,1.359,0,1,0,0,0,0,0,0,0,23.41,42.52,41.38,41.64,1019.8,29.89,6.81,0,0,506.5,125.5,-98.2,52.35,27.06,300.2,381,-150.5,0.248,408.4,177.9,230.5,362.4,512.9,0,7.13,140.9,140.9,28,255,0
"2023-07-13 11:42:00",28,13.3,28.71,2,1.097,0,1,0,0,0,0,0,0,0,23.23,42.81,41.34,41.36,1019.717,29.81,6.81,0,0,594.1,148.7,-95.8,54.51,26.72,299.9,445.3,-150.3,0.25,498.2,203.2,295,362.6,513,0,7.13,140.9,140.9,28.2,255,0
"2023-07-13 11:48:00",29,13.32,28.72,141,1.063,0,1,0,0,0,0,0,0,0,23.79,42.29,39.33,40.49,1019.617,29.7,6.8,0,0,738.8,187.6,-98.3,65.8,27.14,300.3,551.2,-164.1,0.254,640.5,253.4,387.1,362.8,526.9,0,7.13,140.8,140.9,28.3,255,0
"2023-07-13 11:54:00",30,13.32,28.8,238,1.103,0,1,0,0,0,0,0,0,0,23.77,41.86,40.07,40.44,1019.6,29.78,6.8,0,0,723.8,181.6,-98.2,67.07,27.51,300.7,542.3,-165.3,0.251,625.6,248.6,376.9,365.1,530.4,0,7.13,140.8,140.8,28.4,255,0
"2023-07-13 12:00:00",31,13.31,28.92,50,1.055,0,1,0,0,0,0,0,0,0,24.13,40.97,37.77,37.77,1019.525,30,6.8,0,0,648.6,163.1,-97.9,64.19,27.74,300.9,485.6,-162.1,0.251,550.7,227.2,323.4,366.8,528.9,0,7.13,140.8,140.8,28.6,255,0
"2023-07-13 12:06:00",32,13.31,29.07,54,1.24,0,1,0,0,0,0,0,0,0,24.39,38.07,37.01,37.8,1019.458,30.23,6.8,0,0,604.1,151.2,-97.9,58.12,27.7,300.8,453,-156,0.25,506.2,209.3,297,366.6,522.6,0,7.13,140.7,140.8,28.7,255,0
"2023-07-13 12:12:00",33,13.3,29.17,353,1.585,0,1,0,0,0,0,0,0,0,23.89,39.87,37.81,39.87,1019.4,30.3,6.79,0,0,623.4,155.9,-95.7,59.93,27.26,300.4,467.5,-155.6,0.25,527.7,215.8,311.9,366.1,521.7,0,7.13,140.7,140.7,28.9,255,0
"2023-07-13 12:18:00",34,13.3,29.18,182,1.474,0,1,0,0,0,0,0,0,0,24.02,40.14,38,38.49,1019.4,30.2,6.79,0,0,673.2,170.7,-92.9,66.01,27.25,300.4,502.5,-158.9,0.254,580.3,236.7,343.6,368.8,527.7,0,7.13,140.7,140.7,29,255,0
"2023-07-13 12:24:00",35,13.3,29.19,36,1.379,0,1,0,0,0,0,0,0,0,23.98,40,37.71,37.71,1019.4,30.09,6.79,0,0,493.6,124.7,-91.3,53.67,27.27,300.4,368.9,-144.9,0.253,402.4,178.4,224,370.6,515.5,0,7.13,140.7,140.7,29.1,255,0
"2023-07-13 12:30:00",36,13.3,29.19,326,0.892,0,1,0,0,0,0,0,0,0,23.92,39.95,37.86,38.78,1019.417,29.95,6.78,0,0,498.8,125.1,-89.7,50.81,27.01,300.2,373.7,-140.5,0.251,409.1,175.9,233.2,370.6,511.1,0,7.13,140.6,140.7,29.2,255,0
"2023-07-13 12:36:00",37,13.3,29.14,218,1.02,0,1,0,0,0,0,0,0,0,23.98,40.21,38.13,38.13,1019.4,29.8,6.78,0,0,546.4,136.7,-89.9,53.71,26.92,300.1,409.6,-143.6,0.25,456.5,190.5,266,369.8,513.4,0,7.13,140.6,140.6,29.2,255,0
"2023-07-13 12:42:00",38,13.31,29.1,11,1.211,0,1,0,0,0,0,0,0,0,24.37,38.5,37.47,38.44,1019.4,29.71,6.77,0,0,645.5,161.4,-96,61.32,27.35,300.5,484.1,-157.3,0.25,549.6,222.8,326.8,366.3,523.7,0,7.13,140.6,140.6,29.2,255,0
"2023-07-13 12:48:00",39,13.31,29.09,332,0.996,0,1,0,0,0,0,0,0,0,24.08,39.1,37.61,38.32,1019.4,29.77,6.78,0,0,695.9,172.3,-101.3,64.38,27.58,300.7,523.6,-165.7,0.248,594.6,236.7,358,362.5,528.2,0,7.13,140.6,140.6,29.3,255,0
"2023-07-13 12:54:00",40,13.3,29.14,24,1.288,0,1,0,0,0,0,0,0,0,24.39,38.74,36.34,38.65,1019.358,29.93,6.77,0,0,777.1,193,-106,71.2,27.87,301,584.1,-177.1,0.248,671.1,264.2,407,359.6,536.8,0,7.13,140.5,140.5,29.4,255,0
"2023-07-13 13:00:00",41,13.31,29.25,29,1.663,0,1,0,0,0,0,0,0,0,24.56,38.29,36.15,36.15,1019.3,30.18,6.77,0,0,792.1,196.8,-107.2,75.46,28.26,301.4,595.3,-182.6,0.248,685,272.2,412.7,360.8,543.4,0,7.13,140.5,140.5,29.5,255,0
"2023-07-13 13:06:00",42,13.31,29.41,265,1.083,0,1,0,0,0,0,0,0,0,24.96,37.06,35.75,36.21,1019.283,30.52,6.78,0,0,735.9,181.7,-107,72.38,28.43,301.6,554.2,-179.4,0.247,628.9,254.1,374.8,362,541.4,0,7.13,140.5,140.5,29.6,255,0
"2023-07-13 13:12:00",43,13.3,29.6,13,0.878,0,1,0,0,0,0,0,0,0,25.33,36.78,34.62,35.33,1019.2,30.85,6.77,0,0,761.2,189.5,-108.1,74.14,28.93,302.1,571.7,-182.3,0.249,653.1,263.6,389.5,364,546.3,0,7.13,140.4,140.5,29.7,255,0
"2023-07-13 13:18:00",44,13.3,29.82,238,1.108,0,1,0,0,0,0,0,0,0,25.29,36.16,34.29,36.16,1019.142,31.17,6.76,0,0,296.7,70.07,-100.5,43.52,28.67,301.8,226.6,-144,0.236,196.2,113.6,82.6,370,514,0,7.13,140.4,140.4,29.9,255,0
"2023-07-13 13:24:00",45,13.28,29.93,339,0.795,0,1,0,0,0,0,0,0,0,24.48,38.33,36.27,38.33,1019.167,31.19,6.77,0,0,322.5,77.35,-94.2,37.35,27.38,300.5,245.2,-131.5,0.24,228.3,114.7,113.6,368.4,499.9,0,7.13,140.4,140.4,30.1,255,0
"2023-07-13 13:30:00",46,13.28,29.83,356,0.941,0,1,0,0,0,0,0,0,0,24.52,38.67,35.64,37,1019.1,30.82,6.75,0,0,680.6,171,-99.5,60.6,27.28,300.4,509.5,-160.1,0.251,581.1,231.6,349.5,362.4,522.5,0,7.13,140.4,140.4,30.1,255,0
"2023-07-13 13:36:00",47,13.31,29.7,160,1.054,0,1,0,0,0,0,0,0,0,24.65,37.1,35.83,35.99,1018.967,30.59,6.75,0,0,915,230.3,-109.1,80.6,28.11,301.3,684.6,-189.7,0.252,806,310.8,494.9,357.9,547.6,0,7.13,140.3,140.3,30.1,255,0
"2023-07-13 13:42:00",48,13.31,29.72,253,1.659,0,1,0,0,0,0,0,0,0,24.88,36.47,35.3,35.53,1018.842,30.75,6.76,0,0,884,221.1,-110.8,83.4,28.66,301.8,662.5,-194.2,0.25,772.8,304.5,468.3,359.7,553.8,0,7.13,140.3,140.3,30.1,255,0
"2023-07-13 13:48:00",49,13.31,29.86,322,1.202,0,1,0,0,0,0,0,0,0,25.65,36.67,33.55,33.97,1018.8,31.12,6.75,0,0,874,220.3,-112.5,85.6,29.23,302.4,654.1,-198,0.252,761.9,305.8,456.1,361.6,559.6,0,7.13,140.3,140.3,30.2,255,0
"2023-07-13 13:54:00",50,13.28,30.1,49,1.256,0,1,0,0,0,0,0,0,0,25.24,36.41,34.33,35.49,1018.8,31.59,6.75,0,0,788.1,195.5,-117.2,80.4,29.45,302.6,592.6,-197.6,0.248,670.8,275.9,394.9,358.2,555.8,0,7.13,140.2,140.2,30.4,255,0
"2023-07-13 14:00:00",51,13.28,30.32,308,1.66,0,1,0,0,0,0,0,0,0,25.49,35.85,34.2,35.08,1018.708,31.91,6.75,0,0,765,192.3,-117.6,74.55,29.54,302.7,572.7,-192.1,0.251,647.4,266.9,380.6,358.4,550.5,0,7.13,140.2,140.2,30.5,255,0
"2023-07-13 14:06:00",52,13.28,30.48,62,2.169,0,1,0,0,0,0,0,0,0,25.69,34.86,33.73,34.32,1018.633,32.04,6.75,0,0,793.2,199.7,-115.9,75.37,29.25,302.4,593.5,-191.3,0.252,677.3,275.1,402.3,358.2,549.5,0,7.13,140.1,140.2,30.7,255,0
"2023-07-13 14:12:00",53,13.28,30.58,230,1.583,0,1,0,0,0,0,0,0,0,25.54,36.02,34.27,35.58,1018.567,32.1,6.75,0,0,796,201.5,-115.2,80.3,29.17,302.3,594.5,-195.5,0.253,680.8,281.8,399,358.5,554,0,7.13,140.1,140.1,30.7,255,0
"2023-07-13 14:18:00",54,13.28,30.68,307,1.313,0,1,0,0,0,0,0,0,0,26.13,35.04,32.34,32.89,1018.5,32.17,6.75,0,0,685,174,-117.1,74.99,29.55,302.7,511,-192.1,0.253,567.9,249,318.9,359,551,0,7.13,140.1,140.1,30.8,255,0
"2023-07-13 14:24:00",55,13.28,30.76,251,0.76,0,1,0,0,0,0,0,0,0,25.32,34.88,33.32,34.25,1018.475,32.21,6.75,0,0,509.1,127.5,-116.2,56.37,29.02,302.2,381.7,-172.6,0.25,392.9,183.8,209.1,356.5,529.1,0,7.13,140.1,140.1,30.9,255,0
"2023-07-13 14:30:00",56,13.28,30.73,35,1.089,0,1,0,0,0,0,0,0,0,25.2,34.77,33.93,34.26,1018.333,32.03,6.73,0,0,532.1,133.6,-114.5,61.71,28.61,301.8,398.4,-176.2,0.249,417.5,195.3,222.2,355.6,531.8,0,7.13,140,140,31,255,0
"2023-07-13 14:36:00",57,13.28,30.62,314,1.116,0,1,0,0,0,0,0,0,0,25.02,35.85,34.41,35.5,1018.2,31.73,6.73,0,0,648,166.2,-116.1,63.81,28.35,301.5,481.8,-179.9,0.256,531.9,230,301.9,352.4,532.3,0,7.13,140,140,31,255,0
"2023-07-13 14:42:00",58,13.28,30.46,78,1.654,0,1,0,0,0,0,0,0,0,25.73,36.36,33.56,34.03,1018.1,31.39,6.73,0,0,720.9,187.1,-119.2,73.67,28.86,302,533.8,-192.9,0.26,601.7,260.8,340.9,352.5,545.4,0,7.13,140,140,31,255,0
"2023-07-13 14:48:00",59,13.28,30.38,336,1.802,0,1,0,0,0,0,0,0,0,25.57,35.73,34.22,35,1018.125,31.2,6.73,0,0,694.6,178.8,-121.2,70.29,28.89,302,515.8,-191.5,0.257,573.4,249.1,324.3,350.7,542.2,0,7.13,139.9,140,30.9,255,0
"2023-07-13 14:54:00",60,13.28,30.32,232,1.798,0,1,0,0,0,0,0,0,0,25.29,35.62,34.84,35.1,1018.033,31.01,6.73,0,0,677.1,174.6,-119.3,68.85,28.62,301.8,502.5,-188.2,0.258,557.8,243.5,314.3,350.9,539.1,0,7.13,139.9,139.9,31,255,0
"2023-07-13 15:00:00",61,13.28,30.26,341,1.649,0,1,0,0,0,0,0,0,0,25.65,35.36,34.13,35.14,1018,30.79,6.72,0,0,667.1,174.1,-117.7,73.36,28.41,301.6,492.9,-191.1,0.261,549.3,247.5,301.8,351.2,542.3,0,7.13,139.9,139.9,31,255,0
"2023-07-13 15:06:00",62,13.28,30.21,32,1.616,0,1,0,0,0,0,0,0,0,25.87,34.91,33.81,34.2,1018,30.64,6.72,0,0,658.3,173.3,-120.2,70.23,28.78,301.9,485,-190.4,0.263,538.1,243.5,294.6,351,541.4,0,7.13,139.8,139.9,30.9,255,0
"2023-07-13 15:12:00",63,13.28,30.2,328,1.183,0,1,0,0,0,0,0,0,0,25.85,35.23,34.03,34.1,1017.917,30.53,6.72,0,0,616.7,161.9,-121,66.99,28.99,302.1,454.8,-188,0.262,495.7,228.9,266.8,351.5,539.5,0,7.13,139.8,139.8,31,255,0
"2023-07-13 15:18:00",64,13.28,30.19,150,1.456,0,1,0,0,0,0,0,0,0,25.63,35.3,34.1,35.04,1017.9,30.45,6.71,0,0,575.8,151,-120,61.33,28.77,301.9,424.7,-181.3,0.261,455.8,212.4,243.4,351.1,532.5,0,7.13,139.8,139.8,31,255,0
"2023-07-13 15:24:00",65,13.28,30.14,317,1.689,0,1,0,0,0,0,0,0,0,25.94,35.46,33.65,33.91,1017.85,30.33,6.72,0,0,607.4,161.9,-120.5,63.91,28.94,302.1,445.5,-184.4,0.267,486.9,225.8,261,351.7,536.1,0,7.13,139.7,139.8,31,255,0
"2023-07-13 15:30:00",66,13.27,30.11,319,1.238,0,1,0,0,0,0,0,0,0,25.9,34.68,33.71,34.68,1017.692,30.25,6.72,0,0,587.4,157,-123.9,60.67,29.09,302.2,430.4,-184.6,0.267,463.5,217.7,245.8,349.2,533.8,0,7.13,139.7,139.7,31,255,0
"2023-07-13 15:36:00",67,13.28,30.07,20,1.081,0,1,0,0,0,0,0,0,0,25.9,34.81,33.43,33.43,1017.575,30.19,6.73,0,0,569.3,153.5,-123.5,59.07,29.15,302.3,415.9,-182.6,0.27,445.8,212.5,233.3,350,532.6,0,7.13,139.7,139.7,31,255,0
"2023-07-13 15:42:00",68,13.28,30.03,82,1.004,0,1,0,0,0,0,0,0,0,25.92,34.3,32.98,33.42,1017.483,30.16,6.72,0,0,552.9,149.6,-125.1,55.87,29.24,302.4,403.3,-181,0.271,427.8,205.5,222.3,349,530,0,7.13,139.7,139.7,31,255,0
"2023-07-13 15:48:00",69,13.28,29.98,67,0.89,0,1,0,0,0,0,0,0,0,26.1,34.36,33.37,33.37,1017.408,30.15,6.73,0,0,536.5,146.7,-124.8,54.07,29.51,302.7,389.7,-178.9,0.274,411.7,200.8,210.9,351,529.8,0,7.13,139.6,139.6,31.1,255,0
"2023-07-13 15:54:00",70,13.27,29.95,359,1.737,0,1,0,0,0,0,0,0,0,26.07,34.65,33.32,34.13,1017.425,30.18,6.72,0,0,522.9,142.7,-122.9,52.25,29.25,302.4,380.2,-175.2,0.273,399.9,194.9,205,351.2,526.4,0,7.13,139.6,139.6,31.1,255,0
"2023-07-13 16:00:00",71,13.28,29.89,338,1.484,0,1,0,0,0,0,0,0,0,25.55,36.46,34.09,35.5,1017.4,30.19,6.71,0,0,506,138.6,-120.3,51.73,28.67,301.8,367.5,-172,0.274,385.8,190.3,195.5,350.3,522.3,0,7.13,139.6,139.6,31.1,255,0
"2023-07-13 16:06:00",72,13.28,29.81,41,1.446,0,1,0,0,0,0,0,0,0,25.82,35.74,33.61,34.1,1017.317,30.15,6.71,0,0,491.5,137.4,-121.2,51.32,28.88,302,354.1,-172.5,0.28,370.3,188.7,181.5,350.6,523.1,0,7.13,139.5,139.5,31.1,255,0
"2023-07-13 16:12:00",73,13.28,29.73,57,1.597,0,1,0,0,0,0,0,0,0,26.11,34.66,32.96,33.91,1017.208,30.13,6.71,0,0,475.9,134.1,-121.4,49.38,28.95,302.1,341.8,-170.8,0.282,354.4,183.5,170.9,350.8,521.6,0,7.13,139.5,139.5,31,255,0
"2023-07-13 16:18:00",74,13.28,29.67,352,1.262,0,1,0,0,0,0,0,0,0,25.67,35.46,33.65,35.3,1017.2,30.11,6.71,0,0,460.9,129.7,-121.1,47.18,28.76,301.9,331.2,-168.2,0.281,339.9,176.9,162.9,350,518.3,0,7.13,139.5,139.5,31,255,0
"2023-07-13 16:24:00",75,13.28,29.59,235,1.256,0,1,0,0,0,0,0,0,0,25.98,34.88,33.68,34.04,1017.183,30.08,6.71,0,0,445.2,127.1,-120.4,45.63,28.86,302,318.1,-166,0.286,324.8,172.7,152.1,351.3,517.3,0,7.13,139.4,139.5,31,255,0
"2023-07-13 16:30:00",76,13.28,29.55,80,1.885,0,1,0,0,0,0,0,0,0,26.11,33.89,32.84,33.49,1017.1,30.08,6.71,0,0,429.8,122.3,-120,42.71,28.67,301.8,307.5,-162.7,0.285,309.8,165.1,144.7,350.5,513.3,0,7.13,139.4,139.4,31,255,0
"2023-07-13 16:36:00",77,13.28,29.48,98,1.689,0,1,0,0,0,0,0,0,0,25.7,34.52,33.38,33.38,1017.083,30.04,6.71,0,0,413.1,119.5,-118.6,41.72,28.41,301.6,293.6,-160.3,0.289,294.5,161.2,133.3,350.3,510.6,0,7.13,139.4,139.4,30.9,255,0
"2023-07-13 16:42:00",78,13.31,29.39,113,1.371,0,1,0,0,0,0,0,0,0,26.11,33.65,32.93,33.31,1017,29.94,6.71,0,0,396.4,115.5,-119.1,40.11,28.47,301.6,280.9,-159.2,0.291,277.3,155.6,121.7,350.2,509.4,0,7.13,139.3,139.4,30.8,255,0
"2023-07-13 16:48:00",79,13.31,29.32,352,1.032,0,1,0,0,0,0,0,0,0,25.82,34.17,33.1,33.9,1017,29.86,6.71,0,0,377.3,109.8,-119.2,36.35,28.36,301.5,267.5,-155.5,0.291,258.1,146.2,112,349.4,504.9,0,7.13,139.3,139.3,30.7,255,0
"2023-07-13 16:54:00",80,13.31,29.24,114,1.323,0,1,0,0,0,0,0,0,0,25.81,33.97,33.39,33.93,1017,29.77,6.71,0,0,360.9,105.1,-118.9,33.13,28.31,301.5,255.7,-152,0.291,242,138.3,103.7,349.4,501.4,0,7.13,139.3,139.3,30.7,255,0
"2023-07-13 17:00:00",81,13.31,29.14,130,1.429,0,1,0,0,0,0,0,0,0,25.61,35,33.03,33.42,1016.925,29.65,6.71,0,0,344.7,100.3,-117.3,32.08,28.09,301.2,244.3,-149.4,0.291,227.4,132.4,95,349.6,499,0,7.13,139.3,139.3,30.6,255,0
"2023-07-13 17:06:00",82,13.3,29.03,96,1.353,0,1,0,0,0,0,0,0,0,25.91,33.97,32.8,33.21,1016.9,29.51,6.7,0,0,329,95.4,-116.7,30.05,28.02,301.2,233.6,-146.8,0.29,212.3,125.5,86.8,349.8,496.6,0,7.13,139.2,139.3,30.5,255,0
